"saat","tarix1","hefte","kwh"
"2PM",2014-08-23,"суббота","0.797kwh"
"3AM",2014-04-24,"четверг","0.048kwh"
"3PM",2014-12-26,"пятница","0.387kwh"
"4AM",2014-07-30,"среда","0.523kwh"
"6AM",2014-12-15,"понедельник","1.465kwh"
"8PM",2014-10-19,"воскресенье","1.015kwh"
"2PM",2014-01-25,"суббота","1.472kwh"
"10PM",2014-04-08,"вторник","0.141kwh"
"12PM",2014-02-11,"вторник","0.636kwh"
"8AM",2014-03-23,"воскресенье","41.04kwh"
"4AM",2014-05-01,"четверг","0.149kwh"
"1PM",2014-07-18,"пятница","1.085kwh"
"1AM",2014-09-14,"воскресенье","0.204kwh"
"9AM",2014-12-12,"пятница","40.35kwh"
"1PM",2014-10-04,"суббота","0.414kwh"
"10PM",2014-10-18,"суббота","0.252kwh"
"6AM",2014-10-15,"среда","0.662kwh"
"3AM",2014-06-26,"четверг","0.403kwh"
"5AM",2014-10-17,"пятница","0.785kwh"
"9PM",2014-01-23,"четверг","1.284kwh"
"5AM",2014-10-06,"понедельник","0.733kwh"
"2PM",2014-02-08,"суббота","0.998kwh"
"10PM",2014-04-14,"понедельник","0.146kwh"
"10PM",2014-07-15,"вторник","1.272kwh"
"10AM",2014-11-11,"вторник","0.189kwh"
"4PM",2014-10-11,"суббота","0.626kwh"
"2PM",2014-10-29,"среда","0.206kwh"
"3PM",2014-08-25,"понедельник","0.538kwh"
"9AM",2014-10-26,"воскресенье","0.632kwh"
"6PM",2014-08-17,"воскресенье","2.592kwh"
"2PM",2014-08-08,"пятница","0.509kwh"
"5AM",2014-07-27,"воскресенье","0.612kwh"
"1PM",2014-04-27,"воскресенье","0.207kwh"
"3PM",2014-12-29,"понедельник","40.37kwh"
"4AM",2014-01-16,"четверг","0.388kwh"
"7AM",2014-06-06,"пятница","1.393kwh"
"10PM",2014-01-24,"пятница","1.624kwh"
"11AM",2014-10-26,"воскресенье","0.328kwh"
"5AM",2014-09-25,"четверг","0.816kwh"
"12PM",2014-03-22,"суббота","0.499kwh"
"9AM",2014-11-22,"суббота","0.365kwh"
"9PM",2014-03-23,"воскресенье","0.499kwh"
"12AM",2014-02-09,"воскресенье","0.998kwh"
"11AM",2014-12-16,"вторник","0.572kwh"
"5PM",2014-08-16,"суббота","0.907kwh"
"2AM",2014-05-27,"вторник","0.128kwh"
"6PM",2014-09-18,"четверг","1.088kwh"
"7AM",2014-04-11,"пятница","0.216kwh"
"4PM",2014-04-15,"вторник","0.121kwh"
"6PM",2014-10-21,"вторник","1.008kwh"
"9AM",2014-04-13,"воскресенье","0.278kwh"
"12AM",2014-09-12,"пятница","40.21kwh"
"2AM",2014-11-29,"суббота","40.12kwh"
"10PM",2014-09-22,"понедельник","0.322kwh"
"11PM",2014-07-19,"суббота","2.256kwh"
"1PM",2014-09-25,"четверг","0.235kwh"
"7AM",2014-08-22,"пятница","1.037kwh"
"3PM",2014-06-25,"среда","40.72kwh"
"1AM",2014-08-16,"суббота","0.331kwh"
"9AM",2014-03-17,"понедельник","0.271kwh"
"8PM",2014-06-22,"воскресенье","3.078kwh"
"12AM",2014-11-13,"четверг","0.112kwh"
"12AM",2014-02-27,"четверг","0.385kwh"
"9AM",2014-10-18,"суббота","40.54kwh"
"7PM",2014-11-12,"среда","0.948kwh"
"5AM",2014-08-14,"четверг","1.426kwh"
"2AM",2014-06-13,"пятница","0.288kwh"
"12PM",2014-06-02,"понедельник","0.873kwh"
"9PM",2014-04-30,"среда","0.189kwh"
"9AM",2014-11-25,"вторник","0.146kwh"
"4PM",2014-03-19,"среда","0.346kwh"
"11AM",2014-09-12,"пятница","0.291kwh"
"9AM",2014-12-26,"пятница","0.353kwh"
"10AM",2014-03-29,"суббота","0.408kwh"
"5AM",2014-03-25,"вторник","0.704kwh"
"11PM",2014-04-30,"среда","0.171kwh"
"9PM",2014-01-13,"понедельник","1.368kwh"
"7PM",2014-01-26,"воскресенье","3.528kwh"
"2PM",2014-06-29,"воскресенье","41.31kwh"
"6PM",2014-07-10,"четверг","3.125kwh"
"8AM",2014-09-04,"четверг","0.272kwh"
"8AM",2014-10-31,"пятница","0.274kwh"
"11PM",2014-06-18,"среда","0.738kwh"
"1PM",2014-01-13,"понедельник","0.784kwh"
"7PM",2014-12-02,"вторник","2.158kwh"
"1AM",2014-01-14,"вторник","0.444kwh"
"2AM",2014-04-26,"суббота","0.098kwh"
"12PM",2014-06-05,"четверг","1.008kwh"
"9PM",2014-04-20,"воскресенье","0.166kwh"
"8AM",2014-02-01,"суббота","1.404kwh"
"1AM",2014-06-29,"воскресенье","0.572kwh"
"12AM",2014-04-14,"понедельник","0.091kwh"
"12AM",2014-05-31,"суббота","0.557kwh"
"11AM",2014-05-31,"суббота","0.547kwh"
"11PM",2014-01-22,"среда","41.17kwh"
"11AM",2014-10-08,"среда","40.33kwh"
"9PM",2014-12-10,"среда","0.535kwh"
"4AM",2014-06-22,"воскресенье","0.567kwh"
"5PM",2014-08-15,"пятница","1.342kwh"
"12PM",2014-12-29,"понедельник","0.567kwh"
"9PM",2014-07-17,"четверг","1.483kwh"
"1PM",2014-02-21,"пятница","0.446kwh"
"10AM",2014-05-18,"воскресенье","0.389kwh"
"7AM",2014-12-14,"воскресенье","1.056kwh"
"12AM",2014-08-30,"суббота","1.142kwh"
"12AM",2014-03-31,"понедельник","0.204kwh"
"4AM",2014-08-20,"среда","0.257kwh"
"6PM",2014-02-10,"понедельник","1.999kwh"
"1AM",2014-08-04,"понедельник","0.242kwh"
"7PM",2014-06-13,"пятница","3.046kwh"
"8PM",2014-08-23,"суббота","1.944kwh"
"10PM",2014-05-07,"среда","0.396kwh"
"5PM",2014-12-21,"воскресенье","40.98kwh"
"12PM",2014-09-25,"четверг","0.329kwh"
"4AM",2014-10-20,"понедельник","0.128kwh"
"5PM",2014-04-27,"воскресенье","0.221kwh"
"6AM",2014-01-17,"пятница","1.992kwh"
"7AM",2014-06-09,"понедельник","1.588kwh"
"8PM",2014-08-19,"вторник","42.17kwh"
"2PM",2014-07-08,"вторник","0.912kwh"
"7PM",2014-03-25,"вторник","1.512kwh"
"8PM",2014-11-09,"воскресенье","0.948kwh"
"12PM",2014-07-28,"понедельник","41.32kwh"
"7PM",2014-05-12,"понедельник","1.512kwh"
"3PM",2014-11-19,"среда","0.182kwh"
"1AM",2014-01-13,"понедельник","0.452kwh"
"10AM",2014-07-08,"вторник","1.066kwh"
"10AM",2014-04-26,"суббота","40.18kwh"
"8AM",2014-06-10,"вторник","0.778kwh"
"11PM",2014-06-15,"воскресенье","0.864kwh"
"9AM",2014-12-20,"суббота","41.02kwh"
"11AM",2014-05-16,"пятница","40.36kwh"
"9PM",2014-06-11,"среда","1.112kwh"
"3PM",2014-03-25,"вторник","0.262kwh"
"5PM",2014-12-19,"пятница","1.244kwh"
"7PM",2014-03-14,"пятница","41.31kwh"
"2PM",2014-07-27,"воскресенье","2.131kwh"
"2AM",2014-01-18,"суббота","0.648kwh"
"6AM",2014-12-09,"вторник","1.346kwh"
"12PM",2014-01-10,"пятница","41.12kwh"
"6AM",2014-11-20,"четверг","0.572kwh"
"1PM",2014-05-18,"воскресенье","0.509kwh"
"7PM",2014-03-11,"вторник","1.166kwh"
"8PM",2014-02-26,"среда","1.958kwh"
"7AM",2014-12-24,"среда","1.079kwh"
"4PM",2014-05-21,"среда","0.291kwh"
"9AM",2014-08-27,"среда","40.41kwh"
"11AM",2014-06-17,"вторник","0.792kwh"
"3AM",2014-07-06,"воскресенье","0.864kwh"
"1AM",2014-02-27,"четверг","0.271kwh"
"1AM",2014-09-21,"воскресенье","0.197kwh"
"4AM",2014-01-21,"вторник","40.44kwh"
"4PM",2014-10-20,"понедельник","0.204kwh"
"6AM",2014-07-31,"четверг","2.966kwh"
"9AM",2014-04-23,"среда","0.106kwh"
"1PM",2014-03-11,"вторник","0.346kwh"
"6AM",2014-06-11,"среда","1.901kwh"
"10PM",2014-11-16,"воскресенье","0.218kwh"
"8PM",2014-10-29,"среда","0.922kwh"
"5AM",2014-11-10,"понедельник","0.505kwh"
"5AM",2014-08-27,"среда","1.294kwh"
"6AM",2014-06-29,"воскресенье","1.411kwh"
"5PM",2014-03-22,"суббота","40.85kwh"
"7PM",2014-01-21,"вторник","3.672kwh"
"1AM",2014-06-27,"пятница","0.382kwh"
"5PM",2014-08-17,"воскресенье","1.285kwh"
"9PM",2014-12-12,"пятница","0.515kwh"
"2AM",2014-10-13,"понедельник","0.096kwh"
"2PM",2014-10-25,"суббота","0.557kwh"
"5AM",2014-03-23,"воскресенье","0.283kwh"
"7PM",2014-12-18,"четверг","1.782kwh"
"3PM",2014-09-23,"вторник","0.241kwh"
"3AM",2014-05-17,"суббота","0.211kwh"
"11PM",2014-12-24,"среда","0.649kwh"
"6AM",2014-06-10,"вторник","1.987kwh"
"8PM",2014-09-15,"понедельник","1.266kwh"
"3AM",2014-09-10,"среда","0.144kwh"
"4AM",2014-02-11,"вторник","0.245kwh"
"7PM",2014-04-10,"четверг","0.605kwh"
"12PM",2014-04-11,"пятница","0.167kwh"
"4AM",2014-01-11,"суббота","40.48kwh"
"6AM",2014-04-10,"четверг","0.324kwh"
"9AM",2014-05-20,"вторник","0.192kwh"
"11AM",2014-11-25,"вторник","0.234kwh"
"2PM",2014-04-21,"понедельник","0.126kwh"
"9PM",2014-05-25,"воскресенье","0.432kwh"
"11AM",2014-02-19,"среда","40.57kwh"
"4AM",2014-06-12,"четверг","0.432kwh"
"1PM",2014-05-24,"суббота","0.552kwh"
"6PM",2014-03-11,"вторник","1.019kwh"
"12AM",2014-10-22,"среда","0.212kwh"
"5AM",2014-11-13,"четверг","0.594kwh"
"3AM",2014-09-27,"суббота","0.227kwh"
"4AM",2014-06-20,"пятница","0.299kwh"
"6PM",2014-06-19,"четверг","2.293kwh"
"6AM",2014-04-18,"пятница","0.292kwh"
"11PM",2014-02-27,"четверг","0.624kwh"
"1AM",2014-09-28,"воскресенье","40.20kwh"
"12PM",2014-10-20,"понедельник","0.282kwh"
"9AM",2014-01-02,"четверг","0.678kwh"
"5AM",2014-01-18,"суббота","0.606kwh"
"6PM",2014-12-23,"вторник","1.679kwh"
"11PM",2014-03-30,"воскресенье","0.368kwh"
"8AM",2014-12-30,"вторник","0.356kwh"
"10AM",2014-05-11,"воскресенье","0.442kwh"
"5AM",2014-04-20,"воскресенье","40.10kwh"
"4AM",2014-03-14,"пятница","0.181kwh"
"5AM",2014-11-05,"среда","0.584kwh"
"7AM",2014-10-13,"понедельник","0.524kwh"
"12AM",2014-05-20,"вторник","0.226kwh"
"4AM",2014-07-22,"вторник","0.403kwh"
"10AM",2014-12-19,"пятница","0.449kwh"
"7PM",2014-06-12,"четверг","3.046kwh"
"7PM",2014-09-17,"среда","1.449kwh"
"1PM",2014-06-29,"воскресенье","1.296kwh"
"3PM",2014-01-29,"среда","40.96kwh"
"12PM",2014-06-22,"воскресенье","0.864kwh"
"6PM",2014-02-16,"воскресенье","41.75kwh"
"9PM",2014-09-26,"пятница","0.224kwh"
"10PM",2014-03-15,"суббота","0.294kwh"
"5PM",2014-02-26,"среда","1.778kwh"
"3AM",2014-04-18,"пятница","0.049kwh"
"4PM",2014-09-22,"понедельник","40.26kwh"
"12PM",2014-07-30,"среда","1.404kwh"
"11PM",2014-11-05,"среда","0.225kwh"
"7PM",2014-05-04,"воскресенье","1.656kwh"
"12PM",2014-06-30,"понедельник","0.828kwh"
"10AM",2014-05-31,"суббота","0.552kwh"
"6PM",2014-01-13,"понедельник","3.248kwh"
"8AM",2014-09-22,"понедельник","0.227kwh"
"11PM",2014-05-04,"воскресенье","0.364kwh"
"8PM",2014-12-27,"суббота","41.98kwh"
"2AM",2014-08-11,"понедельник","0.233kwh"
"4PM",2014-11-23,"воскресенье","40.45kwh"
"10PM",2014-04-26,"суббота","0.139kwh"
"11AM",2014-06-10,"вторник","0.729kwh"
"10AM",2014-01-21,"вторник","40.88kwh"
"12AM",2014-08-21,"четверг","40.36kwh"
"3PM",2014-03-11,"вторник","0.285kwh"
"3AM",2014-08-29,"пятница","0.271kwh"
"2AM",2014-05-03,"суббота","0.214kwh"
"1AM",2014-10-19,"воскресенье","0.153kwh"
"9PM",2014-11-10,"понедельник","0.246kwh"
"3PM",2014-02-12,"среда","0.418kwh"
"8PM",2014-08-30,"суббота","2.333kwh"
"12PM",2014-03-06,"четверг","0.388kwh"
"8PM",2014-07-31,"четверг","43.11kwh"
"3PM",2014-10-17,"пятница","0.257kwh"
"7PM",2014-04-21,"понедельник","0.648kwh"
"5AM",2014-08-18,"понедельник","1.386kwh"
"10PM",2014-03-11,"вторник","0.444kwh"
"9AM",2014-05-18,"воскресенье","0.619kwh"
"1AM",2014-04-15,"вторник","0.061kwh"
"6AM",2014-08-16,"суббота","40.95kwh"
"11AM",2014-07-29,"вторник","41.20kwh"
"11PM",2014-02-22,"суббота","1.092kwh"
"9AM",2014-08-17,"воскресенье","0.961kwh"
"5AM",2014-10-24,"пятница","0.733kwh"
"7AM",2014-08-18,"понедельник","1.134kwh"
"9AM",2014-07-14,"понедельник","40.85kwh"
"1PM",2014-07-26,"суббота","41.67kwh"
"6AM",2014-12-30,"вторник","1.478kwh"
"4AM",2014-10-11,"суббота","0.162kwh"
"6PM",2014-05-06,"вторник","1.098kwh"
"9AM",2014-12-28,"воскресенье","40.98kwh"
"1PM",2014-07-25,"пятница","0.883kwh"
"4AM",2014-11-12,"среда","0.077kwh"
"11PM",2014-05-23,"пятница","0.768kwh"
"1PM",2014-11-28,"пятница","0.167kwh"
"12PM",2014-01-21,"вторник","41.09kwh"
"4AM",2014-06-03,"вторник","0.389kwh"
"12PM",2014-10-09,"четверг","0.312kwh"
"10PM",2014-03-12,"среда","0.468kwh"
"9PM",2014-08-26,"вторник","40.72kwh"
"4PM",2014-04-20,"воскресенье","0.238kwh"
"9AM",2014-08-25,"понедельник","40.36kwh"
"10AM",2014-03-25,"вторник","0.349kwh"
"1PM",2014-01-12,"воскресенье","1.008kwh"
"8PM",2014-12-29,"понедельник","1.672kwh"
"10AM",2014-02-25,"вторник","0.432kwh"
"9AM",2014-12-30,"вторник","0.333kwh"
"12AM",2014-06-19,"четверг","0.599kwh"
"11AM",2014-01-21,"вторник","41.17kwh"
"7PM",2014-03-19,"среда","1.238kwh"
"3PM",2014-04-18,"пятница","40.13kwh"
"3AM",2014-01-30,"четверг","0.456kwh"
"3PM",2014-08-04,"понедельник","0.456kwh"
"3AM",2014-01-25,"суббота","0.612kwh"
"11PM",2014-06-20,"пятница","1.638kwh"
"11PM",2014-02-05,"среда","0.522kwh"
"3PM",2014-10-22,"среда","0.281kwh"
"9AM",2014-05-22,"четверг","0.235kwh"
"5AM",2014-03-29,"суббота","0.216kwh"
"3PM",2014-07-26,"суббота","1.879kwh"
"4AM",2014-07-24,"четверг","0.485kwh"
"10PM",2014-07-10,"четверг","1.332kwh"
"1PM",2014-11-19,"среда","0.187kwh"
"2PM",2014-08-22,"пятница","0.494kwh"
"9PM",2014-08-15,"пятница","40.47kwh"
"2PM",2014-07-17,"четверг","1.085kwh"
"10PM",2014-09-30,"вторник","0.343kwh"
"2PM",2014-04-22,"вторник","0.112kwh"
"3PM",2014-02-08,"суббота","0.907kwh"
"11AM",2014-02-20,"четверг","0.492kwh"
"5AM",2014-08-20,"среда","1.122kwh"
"11PM",2014-04-26,"суббота","0.342kwh"
"1PM",2014-08-23,"суббота","0.698kwh"
"6PM",2014-01-30,"четверг","3.136kwh"
"6PM",2014-05-07,"среда","1.299kwh"
"1AM",2014-07-16,"среда","0.456kwh"
"5PM",2014-01-27,"понедельник","43.12kwh"
"9PM",2014-01-25,"суббота","0.896kwh"
"4PM",2014-07-28,"понедельник","0.787kwh"
"8PM",2014-10-28,"вторник","1.094kwh"
"10PM",2014-02-28,"пятница","0.848kwh"
"4AM",2014-01-12,"воскресенье","0.606kwh"
"12AM",2014-08-03,"воскресенье","0.816kwh"
"6PM",2014-02-24,"понедельник","1.781kwh"
"8PM",2014-02-10,"понедельник","2.304kwh"
"6PM",2014-10-18,"суббота","1.112kwh"
"2PM",2014-06-21,"суббота","1.411kwh"
"1PM",2014-12-18,"четверг","0.471kwh"
"9AM",2014-05-27,"вторник","40.25kwh"
"10PM",2014-06-20,"пятница","1.147kwh"
"5PM",2014-11-09,"воскресенье","0.482kwh"
"12AM",2014-07-12,"суббота","1.555kwh"
"11PM",2014-06-28,"суббота","1.638kwh"
"2AM",2014-08-13,"среда","0.202kwh"
"9AM",2014-03-31,"понедельник","0.259kwh"
"11AM",2014-03-08,"суббота","0.576kwh"
"5AM",2014-06-30,"понедельник","42.00kwh"
"9PM",2014-08-30,"суббота","0.571kwh"
"7PM",2014-04-16,"среда","0.481kwh"
"7PM",2014-10-28,"вторник","40.94kwh"
"3AM",2014-10-14,"вторник","0.144kwh"
"4PM",2014-04-30,"среда","0.119kwh"
"11PM",2014-09-20,"суббота","0.798kwh"
"6PM",2014-10-23,"четверг","0.958kwh"
"2AM",2014-12-10,"среда","0.244kwh"
"7AM",2014-01-23,"четверг","1.854kwh"
"6PM",2014-04-10,"четверг","0.462kwh"
"10AM",2014-01-13,"понедельник","0.752kwh"
"5PM",2014-01-12,"воскресенье","1.746kwh"
"1PM",2014-04-15,"вторник","40.11kwh"
"6AM",2014-02-15,"суббота","0.998kwh"
"11PM",2014-05-08,"четверг","0.464kwh"
"6AM",2014-08-12,"вторник","1.166kwh"
"5AM",2014-05-11,"воскресенье","0.194kwh"
"3PM",2014-12-10,"среда","0.449kwh"
"6AM",2014-02-23,"воскресенье","1.037kwh"
"2AM",2014-03-28,"пятница","0.187kwh"
"3PM",2014-08-18,"понедельник","0.408kwh"
"9PM",2014-01-18,"суббота","0.712kwh"
"1AM",2014-07-10,"четверг","0.475kwh"
"7PM",2014-07-17,"четверг","4.709kwh"
"4AM",2014-12-22,"понедельник","0.222kwh"
"12PM",2014-06-23,"понедельник","1.026kwh"
"5PM",2014-09-24,"среда","1.065kwh"
"10PM",2014-06-07,"суббота","0.698kwh"
"1PM",2014-12-25,"четверг","40.51kwh"
"9AM",2014-07-10,"четверг","0.792kwh"
"9AM",2014-10-30,"четверг","0.149kwh"
"4AM",2014-10-10,"пятница","0.126kwh"
"4AM",2014-06-15,"воскресенье","0.529kwh"
"5PM",2014-08-21,"четверг","41.70kwh"
"12AM",2014-12-19,"пятница","0.393kwh"
"9PM",2014-03-22,"суббота","0.342kwh"
"2PM",2014-06-24,"вторник","0.785kwh"
"2PM",2014-07-28,"понедельник","0.835kwh"
"12PM",2014-05-22,"четверг","0.432kwh"
"5PM",2014-12-22,"понедельник","1.201kwh"
"5PM",2014-02-16,"воскресенье","0.886kwh"
"10PM",2014-06-12,"четверг","1.053kwh"
"1AM",2014-01-25,"суббота","0.594kwh"
"7PM",2014-12-27,"суббота","1.742kwh"
"8PM",2014-07-13,"воскресенье","4.147kwh"
"8PM",2014-12-10,"среда","1.813kwh"
"5PM",2014-09-12,"пятница","0.737kwh"
"10PM",2014-06-11,"среда","0.864kwh"
"9AM",2014-10-28,"вторник","0.171kwh"
"3PM",2014-01-27,"понедельник","0.736kwh"
"10AM",2014-11-14,"пятница","0.178kwh"
"1PM",2014-04-12,"суббота","0.184kwh"
"2AM",2014-03-15,"суббота","0.257kwh"
"11PM",2014-07-06,"воскресенье","1.248kwh"
"12AM",2014-07-29,"вторник","0.842kwh"
